MonthNumeric,MonthFactor,Year,CivicSales,Unemployment,CivicQueries,CPIAll,CPIEnergy,MilesTraveled
10,October,2023,17228,3.8,77,307.619,286.877,271927
11,November,2023,16837,3.7,77,307.917,280.297,273105
12,December,2023,19435,3.7,77,308.742,280.443,272577
1,January,2024,3121,3.7,81,309.685,277.897,272745
2,February,2024,4379,3.9,80,311.054,284.175,274501
3,March,2024,5664,3.8,87,312.23,287.399,273352
4,April,2024,5348,3.9,83,313.207,290.631,273430
5,May,2024,6700,4,88,313.225,284.742,274175
6,June,2024,5935,4.1,92,313.049,278.938,274160
7,July,2024,5755,4.3,92,313.534,279.012,274273
